event_id,event_name,event_date,initial_coverage_date,resolution_time_hours,event_category,outcome,outcome_binary,event_description,outcome_confirmed_by,experimental_plan_note,source_name,article_headline,article_date,article_summary,framing_prediction,source_correct,paywall_note
2,Liz Truss Resignation October 2022,2022-10-20,2022-10-17,72,Resignation,"Liz Truss announced her resignation as Prime Minister on 20 October 2022, 45 days into her tenure, after losing authority following the mini-budget market crisis and the sacking of Kwasi Kwarteng.",RESIGNED,"Liz Truss's position as Prime Minister has become critically weakened following the catastrophic market reaction to the September 23 mini-budget and the sacking of Chancellor Kwasi Kwarteng on 14 October. Her replacement chancellor Jeremy Hunt reversed virtually the entire mini-budget on 17 October, stripping Truss of her central economic programme. Further chaos during a Commons vote on fracking on 19 October, amid reports of ministerial pressure and Suella Braverman's resignation, has led to widespread speculation that Truss cannot continue.",BBC News,"Tests whether outlets predicting WILL_RESIGN (Guardian, Times, Sky News) vs UNCLEAR (BBC, Telegraph, Reuters) on 17 October 2022 accurately predicted the RESIGNED outcome 72 hours later. This event is notable because the Telegraph — historically supportive of Truss's economic vision — was slower to call the outcome, providing useful cross-outlet framing variance.",Reuters,Britain's Truss fights for survival as new finance minister reverses tax cuts,2022-10-17,Reuters reported the Hunt reversal factually and noted the acute pressure on Truss's political survival without forecasting her departure. The wire service contextualised the events within the broader UK bond market crisis and sterling volatility.,UNCLEAR,PARTIAL,FREE
2,Liz Truss Resignation October 2022,2022-10-20,2022-10-17,72,Resignation,"Liz Truss announced her resignation as Prime Minister on 20 October 2022, 45 days into her tenure, after losing authority following the mini-budget market crisis and the sacking of Kwasi Kwarteng.",RESIGNED,"Liz Truss's position as Prime Minister has become critically weakened following the catastrophic market reaction to the September 23 mini-budget and the sacking of Chancellor Kwasi Kwarteng on 14 October. Her replacement chancellor Jeremy Hunt reversed virtually the entire mini-budget on 17 October, stripping Truss of her central economic programme. Further chaos during a Commons vote on fracking on 19 October, amid reports of ministerial pressure and Suella Braverman's resignation, has led to widespread speculation that Truss cannot continue.",BBC News,"Tests whether outlets predicting WILL_RESIGN (Guardian, Times, Sky News) vs UNCLEAR (BBC, Telegraph, Reuters) on 17 October 2022 accurately predicted the RESIGNED outcome 72 hours later. This event is notable because the Telegraph — historically supportive of Truss's economic vision — was slower to call the outcome, providing useful cross-outlet framing variance.",Sky News,"Liz Truss's position as PM increasingly untenable, senior Tories say",2022-10-17,"Sky News reported senior Conservative figures saying privately that Truss could not survive, with political correspondents framing the Hunt reversal as having removed her last source of authority. Coverage was more explicit than the BBC in suggesting resignation was imminent.",WILL_RESIGN,TRUE,FREE
3,Dominic Raab Resignation April 2023,2023-04-21,2023-04-19,48,Resignation,Dominic Raab resigned as Deputy Prime Minister and Justice Secretary on 21 April 2023 after an independent inquiry by Adam Tolley KC found he had behaved in a manner that amounted to bullying.,RESIGNED,"Dominic Raab, Deputy Prime Minister and Justice Secretary, is the subject of an independent bullying inquiry conducted by barrister Adam Tolley KC, commissioned after multiple civil servants made formal complaints about his conduct in previous ministerial roles. Reports on 19 April indicate the inquiry has concluded and its findings are expected imminently. Raab has publicly denied the allegations and suggested he is the target of a smear campaign, but the outcome of the inquiry and its implications for his position remain unknown.",BBC News,"Tests whether outlets anticipating an adverse inquiry finding (Guardian, Times, Sky News — WILL_RESIGN) vs those hedging (BBC, Telegraph — UNCLEAR) correctly predicted resignation 48 hours before confirmation. The Telegraph's historical sympathy for Raab's framing of the allegations as a smear provides useful divergence.",Guardian,"Bullying inquiry into Dominic Raab expected to find against him, sources say",2023-04-19,"The Guardian reported that the Tolley inquiry was expected to find against Raab, citing sources familiar with the investigation's conclusions. Coverage framed the outcome as likely to make Raab's position untenable, given Sunak's prior pledge to uphold ministerial standards.",WILL_RESIGN,TRUE,FREE
3,Dominic Raab Resignation April 2023,2023-04-21,2023-04-19,48,Resignation,Dominic Raab resigned as Deputy Prime Minister and Justice Secretary on 21 April 2023 after an independent inquiry by Adam Tolley KC found he had behaved in a manner that amounted to bullying.,RESIGNED,"Dominic Raab, Deputy Prime Minister and Justice Secretary, is the subject of an independent bullying inquiry conducted by barrister Adam Tolley KC, commissioned after multiple civil servants made formal complaints about his conduct in previous ministerial roles. Reports on 19 April indicate the inquiry has concluded and its findings are expected imminently. Raab has publicly denied the allegations and suggested he is the target of a smear campaign, but the outcome of the inquiry and its implications for his position remain unknown.",BBC News,"Tests whether outlets anticipating an adverse inquiry finding (Guardian, Times, Sky News — WILL_RESIGN) vs those hedging (BBC, Telegraph — UNCLEAR) correctly predicted resignation 48 hours before confirmation. The Telegraph's historical sympathy for Raab's framing of the allegations as a smear provides useful divergence.",BBC,"Dominic Raab bullying inquiry findings expected soon, Downing Street confirms",2023-04-19,BBC News reported that the inquiry findings were expected imminently without speculating on their content or Raab's future. Coverage noted Sunak's previous commitment to act on the findings but did not forecast resignation.,UNCLEAR,PARTIAL,FREE
3,Dominic Raab Resignation April 2023,2023-04-21,2023-04-19,48,Resignation,Dominic Raab resigned as Deputy Prime Minister and Justice Secretary on 21 April 2023 after an independent inquiry by Adam Tolley KC found he had behaved in a manner that amounted to bullying.,RESIGNED,"Dominic Raab, Deputy Prime Minister and Justice Secretary, is the subject of an independent bullying inquiry conducted by barrister Adam Tolley KC, commissioned after multiple civil servants made formal complaints about his conduct in previous ministerial roles. Reports on 19 April indicate the inquiry has concluded and its findings are expected imminently. Raab has publicly denied the allegations and suggested he is the target of a smear campaign, but the outcome of the inquiry and its implications for his position remain unknown.",BBC News,"Tests whether outlets anticipating an adverse inquiry finding (Guardian, Times, Sky News — WILL_RESIGN) vs those hedging (BBC, Telegraph — UNCLEAR) correctly predicted resignation 48 hours before confirmation. The Telegraph's historical sympathy for Raab's framing of the allegations as a smear provides useful divergence.",Telegraph,Raab bullying inquiry to report as deputy PM maintains innocence,2023-04-19,The Telegraph gave significant space to Raab's own framing — that allegations were politically motivated and that robust ministerial conduct had been mischaracterised. Coverage was more measured than the Guardian in forecasting the inquiry's impact on his tenure.,UNCLEAR,PARTIAL,PAYWALLED
3,Dominic Raab Resignation April 2023,2023-04-21,2023-04-19,48,Resignation,Dominic Raab resigned as Deputy Prime Minister and Justice Secretary on 21 April 2023 after an independent inquiry by Adam Tolley KC found he had behaved in a manner that amounted to bullying.,RESIGNED,"Dominic Raab, Deputy Prime Minister and Justice Secretary, is the subject of an independent bullying inquiry conducted by barrister Adam Tolley KC, commissioned after multiple civil servants made formal complaints about his conduct in previous ministerial roles. Reports on 19 April indicate the inquiry has concluded and its findings are expected imminently. Raab has publicly denied the allegations and suggested he is the target of a smear campaign, but the outcome of the inquiry and its implications for his position remain unknown.",BBC News,"Tests whether outlets anticipating an adverse inquiry finding (Guardian, Times, Sky News — WILL_RESIGN) vs those hedging (BBC, Telegraph — UNCLEAR) correctly predicted resignation 48 hours before confirmation. The Telegraph's historical sympathy for Raab's framing of the allegations as a smear provides useful divergence.",Times,"Raab inquiry findings expected to force his resignation, Whitehall sources say",2023-04-19,The Times cited Whitehall sources indicating the inquiry had found against Raab and that his position would become untenable once published. Political correspondents noted Sunak would be under pressure to enforce the ministerial code if findings were adverse.,WILL_RESIGN,TRUE,PAYWALLED
3,Dominic Raab Resignation April 2023,2023-04-21,2023-04-19,48,Resignation,Dominic Raab resigned as Deputy Prime Minister and Justice Secretary on 21 April 2023 after an independent inquiry by Adam Tolley KC found he had behaved in a manner that amounted to bullying.,RESIGNED,"Dominic Raab, Deputy Prime Minister and Justice Secretary, is the subject of an independent bullying inquiry conducted by barrister Adam Tolley KC, commissioned after multiple civil servants made formal complaints about his conduct in previous ministerial roles. Reports on 19 April indicate the inquiry has concluded and its findings are expected imminently. Raab has publicly denied the allegations and suggested he is the target of a smear campaign, but the outcome of the inquiry and its implications for his position remain unknown.",BBC News,"Tests whether outlets anticipating an adverse inquiry finding (Guardian, Times, Sky News — WILL_RESIGN) vs those hedging (BBC, Telegraph — UNCLEAR) correctly predicted resignation 48 hours before confirmation. The Telegraph's historical sympathy for Raab's framing of the allegations as a smear provides useful divergence.",Reuters,UK minister Raab faces imminent bullying inquiry verdict,2023-04-19,"Reuters reported the imminent publication of inquiry findings factually, noting the allegations against Raab and Sunak's earlier ministerial standards commitment. The wire service did not forecast an outcome.",UNCLEAR,PARTIAL,FREE
3,Dominic Raab Resignation April 2023,2023-04-21,2023-04-19,48,Resignation,Dominic Raab resigned as Deputy Prime Minister and Justice Secretary on 21 April 2023 after an independent inquiry by Adam Tolley KC found he had behaved in a manner that amounted to bullying.,RESIGNED,"Dominic Raab, Deputy Prime Minister and Justice Secretary, is the subject of an independent bullying inquiry conducted by barrister Adam Tolley KC, commissioned after multiple civil servants made formal complaints about his conduct in previous ministerial roles. Reports on 19 April indicate the inquiry has concluded and its findings are expected imminently. Raab has publicly denied the allegations and suggested he is the target of a smear campaign, but the outcome of the inquiry and its implications for his position remain unknown.",BBC News,"Tests whether outlets anticipating an adverse inquiry finding (Guardian, Times, Sky News — WILL_RESIGN) vs those hedging (BBC, Telegraph — UNCLEAR) correctly predicted resignation 48 hours before confirmation. The Telegraph's historical sympathy for Raab's framing of the allegations as a smear provides useful divergence.",Sky News,Dominic Raab's position as deputy PM at risk as bullying inquiry nears verdict,2023-04-19,"Sky News framed the imminent inquiry verdict as posing a serious risk to Raab's future, reporting that government sources expected findings to be adverse. Coverage suggested resignation was the likely outcome if the inquiry found against him.",WILL_RESIGN,TRUE,FREE
4,Matt Hancock Resignation June 2021,2021-06-26,2021-06-25,24,Scandal,Matt Hancock resigned as Health Secretary on 26 June 2021 after CCTV footage published by The Sun showed him embracing aide Gina Coladangelo in breach of his own Covid social distancing rules.,RESIGNED,"The Sun newspaper published CCTV footage on 25 June 2021 appearing to show Health Secretary Matt Hancock embracing his aide and close friend Gina Coladangelo inside his ministerial office, in apparent breach of the Covid-19 social distancing regulations he was responsible for implementing. Hancock initially issued an apology and stated his intention to remain in post. Downing Street confirmed as of the evening of 25 June that Boris Johnson considered the matter closed, but public and political pressure for his resignation is mounting rapidly.",BBC News,A fast-resolution scandal event (24 hours) testing whether outlets predicting WILL_RESIGN on the day the story broke (25 June) were correct. Useful for evaluating whether short-window events produce cleaner source credibility signals than slower-moving crises.,Guardian,Matt Hancock apologises for Covid rule breach as calls for resignation mount,2021-06-25,"The Guardian framed the revelation as a serious breach of the rules Hancock had publicly championed, reporting that opposition parties and Conservative backbenchers were calling for his resignation. Coverage suggested Johnson's defence of Hancock was unsustainable given the public mood.",WILL_RESIGN,TRUE,FREE
4,Matt Hancock Resignation June 2021,2021-06-26,2021-06-25,24,Scandal,Matt Hancock resigned as Health Secretary on 26 June 2021 after CCTV footage published by The Sun showed him embracing aide Gina Coladangelo in breach of his own Covid social distancing rules.,RESIGNED,"The Sun newspaper published CCTV footage on 25 June 2021 appearing to show Health Secretary Matt Hancock embracing his aide and close friend Gina Coladangelo inside his ministerial office, in apparent breach of the Covid-19 social distancing regulations he was responsible for implementing. Hancock initially issued an apology and stated his intention to remain in post. Downing Street confirmed as of the evening of 25 June that Boris Johnson considered the matter closed, but public and political pressure for his resignation is mounting rapidly.",BBC News,A fast-resolution scandal event (24 hours) testing whether outlets predicting WILL_RESIGN on the day the story broke (25 June) were correct. Useful for evaluating whether short-window events produce cleaner source credibility signals than slower-moving crises.,BBC,Matt Hancock apologises after footage shows him kissing adviser,2021-06-25,"BBC News reported the story factually, leading with Hancock's apology and Johnson's initial decision to consider the matter closed. Coverage noted the pressure building from opposition parties but did not explicitly forecast resignation.",UNCLEAR,PARTIAL,FREE
4,Matt Hancock Resignation June 2021,2021-06-26,2021-06-25,24,Scandal,Matt Hancock resigned as Health Secretary on 26 June 2021 after CCTV footage published by The Sun showed him embracing aide Gina Coladangelo in breach of his own Covid social distancing rules.,RESIGNED,"The Sun newspaper published CCTV footage on 25 June 2021 appearing to show Health Secretary Matt Hancock embracing his aide and close friend Gina Coladangelo inside his ministerial office, in apparent breach of the Covid-19 social distancing regulations he was responsible for implementing. Hancock initially issued an apology and stated his intention to remain in post. Downing Street confirmed as of the evening of 25 June that Boris Johnson considered the matter closed, but public and political pressure for his resignation is mounting rapidly.",BBC News,A fast-resolution scandal event (24 hours) testing whether outlets predicting WILL_RESIGN on the day the story broke (25 June) were correct. Useful for evaluating whether short-window events produce cleaner source credibility signals than slower-moving crises.,Telegraph,Hancock apologises for Covid breach but vows to stay on as Health Secretary,2021-06-25,"The Telegraph reported the footage and Hancock's apology, noting Johnson's backing and framing the situation as one Hancock might survive if further pressure did not emerge. Some commentary suggested the public might view the breach as a personal rather than purely political matter.",UNCLEAR,PARTIAL,PAYWALLED
4,Matt Hancock Resignation June 2021,2021-06-26,2021-06-25,24,Scandal,Matt Hancock resigned as Health Secretary on 26 June 2021 after CCTV footage published by The Sun showed him embracing aide Gina Coladangelo in breach of his own Covid social distancing rules.,RESIGNED,"The Sun newspaper published CCTV footage on 25 June 2021 appearing to show Health Secretary Matt Hancock embracing his aide and close friend Gina Coladangelo inside his ministerial office, in apparent breach of the Covid-19 social distancing regulations he was responsible for implementing. Hancock initially issued an apology and stated his intention to remain in post. Downing Street confirmed as of the evening of 25 June that Boris Johnson considered the matter closed, but public and political pressure for his resignation is mounting rapidly.",BBC News,A fast-resolution scandal event (24 hours) testing whether outlets predicting WILL_RESIGN on the day the story broke (25 June) were correct. Useful for evaluating whether short-window events produce cleaner source credibility signals than slower-moving crises.,Times,Hancock faces calls to quit over Covid rule breach but says he will carry on,2021-06-25,"The Times framed the story as likely terminal for Hancock's position, reporting that the hypocrisy of a Health Secretary breaking his own distancing rules made his situation politically untenable. Coverage noted Johnson's initial defence of Hancock was likely to come under further scrutiny.",WILL_RESIGN,TRUE,PAYWALLED
4,Matt Hancock Resignation June 2021,2021-06-26,2021-06-25,24,Scandal,Matt Hancock resigned as Health Secretary on 26 June 2021 after CCTV footage published by The Sun showed him embracing aide Gina Coladangelo in breach of his own Covid social distancing rules.,RESIGNED,"The Sun newspaper published CCTV footage on 25 June 2021 appearing to show Health Secretary Matt Hancock embracing his aide and close friend Gina Coladangelo inside his ministerial office, in apparent breach of the Covid-19 social distancing regulations he was responsible for implementing. Hancock initially issued an apology and stated his intention to remain in post. Downing Street confirmed as of the evening of 25 June that Boris Johnson considered the matter closed, but public and political pressure for his resignation is mounting rapidly.",BBC News,A fast-resolution scandal event (24 hours) testing whether outlets predicting WILL_RESIGN on the day the story broke (25 June) were correct. Useful for evaluating whether short-window events produce cleaner source credibility signals than slower-moving crises.,Reuters,Britain's Hancock says sorry for kissing aide but will not resign,2021-06-25,"Reuters reported the story factually, leading with Hancock's apology and refusal to resign, setting out the nature of the Covid rules breach in straightforward terms. The wire service did not speculate on the likelihood of his eventual departure.",UNCLEAR,PARTIAL,FREE
